,id,name,BRNtype,ra,dec,const,majax,minax,pa,bmag,vmag,jmag,hmag,kmag,sbrightn,hubble,parallax,pmra,pmdec,radvel,redshift,cstarumag,cstarbmag,cstarvmag,messier,ngc,ic,cstarnames,identifiers,commonnames,nednotes,ongcnotes,notngc,Id,CAT,CAT_ID,H_id,Name_type
322,12310,NGC6287,GCl,4.473085432202704,-0.3963293665428723,Oph,5.4,,,11.49,10.3,7.6,7.15,6.73,,,0.0742,-5.067,-2.043,-295.0,-0.000983,,,,,,,,MWSC 2533,,,,False,323,NGC,6287,H323,cluster
323,12316,NGC6293,GCl,4.494979860448452,-0.46393905844200267,Oph,4.5,,,9.96,9.02,,,,,,0.0891,0.87,-4.31,-144.0,-0.000479,,,,,,,,MWSC 2539,,,,False,324,NGC,6293,H324,cluster
324,12327,NGC6304,GCl,4.514040310321273,-0.5142137523593805,Oph,3.6,,,10.33,9.03,,,,,,0.1109,-4.04,-1.03,-109.0,-0.000362,,,,,,,,"ESO 454-002,MWSC 2550",,,,False,325,NGC,6304,H325,cluster
325,12339,NGC6316,GCl,4.523123294636859,-0.49113613632488545,Oph,4.8,,,10.33,9.03,,,,,,0.0653,-4.97,-4.61,100.0,0.000333,,,,,,,,MWSC 2554,,,,False,326,NGC,6316,H326,cluster
326,12365,NGC6342,GCl,4.542956779924211,-0.34186491279334597,Oph,6.6,,,11.25,10.01,,,,,,0.1092,-2.94,-7.08,117.0,0.000389,,,,,,,,MWSC 2580,,,,False,327,NGC,6342,H327,cluster
327,12380,NGC6355,GCl,4.555211172934775,-0.45995388998328235,Oph,2.7,,,12.46,11.05,,,,,,0.0843,-4.61,-0.5,-194.0,-0.000647,,,,,,,,"2MASX J17235817-2621060,ESO 519-015,MWSC 2586",,The 2MASS position is for a star northwest of the cluster's core.,,False,328,NGC,6355,H328,cluster
328,12381,NGC6356,GCl,4.553490569180517,-0.3108959844714311,Oph,5.4,,,10.01,7.42,,,,,,0.0878,-3.78,-3.34,39.0,0.00013,,,,,,,,MWSC 2585,,,,False,329,NGC,6356,H329,cluster
329,12396,NGC6369,PN,4.578616765424541,-0.4146805340002305,Oph,0.63,,,12.9,11.4,12.45,11.87,11.48,,,0.8776,-0.241,-0.851,-106.0,-0.000354,,16.99,15.94,,,,HD 158269,"ESO 520-003,IRAS 17262-2343,PN G002.4+05.8",Little Ghost Nebula,,,False,330,NGC,6369,H330,Little Ghost Nebula
330,12428,NGC6401,GCl,4.619081496911509,-0.4172868923498753,Oph,4.5,,,11.31,10.71,,,,,,0.1263,-2.79,1.48,-99.0,-0.000331,,,,,,,,"ESO 520-011,MWSC 2653",,,,False,331,NGC,6401,H331,cluster
331,12453,NGC6426,GCl,4.646554433778942,0.05532936135662579,Oph,5.7,,,,,,,,,,0.0317,-1.84,-3.0,-211.0,-0.000702,,,,,,,,MWSC 2676,,,,False,332,NGC,6426,H332,cluster
